Term ID,Class,Description,Status,Effective Date,Type,Notes,TM5,NCL Version
010-1790,10,Suspensory bandages,A,05/30/2019,GOODS,,T,"""11-2019"""
029-1801,29,"Spanish mackerel, not live",A,05/30/2019,GOODS,,T,"""11-2019"""
031-946,31,"Capelin, live",A,05/30/2019,GOODS,,T,"""11-2019"""
009-2265,9,"Automated process control system, namely, micro-processor based hardware and software used to monitor the status of industrial machinery, namely turbines, generators and compressors",D,05/30/2019,GOODS,"On 05-30-2019, this 08-24-2006 entry was deleted in compliance with Nice 11-2019 because it is indefinite. As written, the nature of the software is unclear. Under Nice 11-2019, computer software must be specified as ""downloadable"" and/or ""recorded"" to clarify the nature of the goods. This wording is no longer acceptable.",,"""11-2019"""
009-2264,9,"Automated process control system, namely, micro-processor based hardware and software used to monitor the status of industrial processes, namely power generation, electrical distribution and oil and gas processing",D,05/30/2019,GOODS,"On 05-30-2019, this 08-24-2006 entry was deleted in compliance with Nice 11-2019 because it is indefinite. As written, the nature of the software is unclear. Under Nice 11-2019, computer software must be specified as ""downloadable"" and/or ""recorded"" to clarify the nature of the goods. This wording is no longer acceptable.",,"""11-2019"""
009-3003,9,"Broadband power line communication systems for transferring broadband data over electrical power lines, comprised of computer hardware, software and modems",D,05/30/2019,GOODS,"On 05-30-2019, this 11-22-2007 entry was deleted in compliance with Nice 11-2019 because it is indefinite. As written, the nature of the software is unclear. Under Nice 11-2019, computer software must be specified as ""downloadable"" and/or ""recorded"" to clarify the nature of the goods. This wording is no longer acceptable.",,"""11-2019"""
009-2582,9,"Building security systems comprising software and hardware for providing picture, video, alarm status, building plans, and other information to a remote station",D,05/30/2019,GOODS,"On 05-30-2019, this 05-18-2007 entry was deleted in compliance with Nice 11-2019 because it is indefinite. As written, the nature of the software is unclear. Under Nice 11-2019, computer software must be specified as ""downloadable"" and/or ""recorded"" to clarify the nature of the goods. This wording is no longer acceptable.",,"""11-2019"""
009-3252,9,Computer hardware and software sold as a unit for testing of embedded computer systems,D,05/30/2019,GOODS,"On 05-30-2019, this 01-01-2009 entry was deleted in compliance with Nice 11-2019 because it is indefinite. As written, the nature of the software is unclear. Under Nice 11-2019, computer software must be specified as ""downloadable"" and/or ""recorded"" to clarify the nature of the goods. This wording is no longer acceptable.",,"""11-2019"""
009-2508,9,"Computer hardware and software system for tracking people, objects and pets using GPS data on a device on the tracked people, objects and pets",D,05/30/2019,GOODS,"On 05-30-2019, this 03-15-2007 entry was deleted in compliance with Nice 11-2019 because it is indefinite. As written, the nature of the computer software is unclear. Under Nice 11-2019, computer software must be specified as ""downloadable"" and/or ""recorded"" to clarify the nature of the goods. This wording is no longer acceptable. See similar existing entry ""GPS tracking devices"" in Class 9. See also the existing entries for ""Electronic devices for animal locating and tracking programmed to use global positioning systems (GPS) and cellular communications"" and ""Electronic devices for locating and tracking {specify, e.g., lost articles, people, pets, etc.} using {specify the type of technology, e.g., radio frequency, global positioning systems, cellular communication networks, etc.},"" respectively, in Class 9.",,"""11-2019"""
009-5581,9,"Day and night vision systems primarily comprised of day and night sensors, day and night cameras, and monitors",X,05/30/2019,GOODS,,,"""11-2019"""
