Term ID,Class,Description,Status,Effective Date,Type,Notes,TM5,NCL Version
019-920,19,Figurines of concrete,A,12/15/2011,GOODS,,T,"""09-2007"""
020-1157,20,"Hardware, namely, non-metal brackets for general use",A,10/14/2010,GOODS,,,"""09-2007"""
020-1156,20,Plastic pulls,A,09/30/2010,GOODS,"Similar to knobs, pulls are classified according to material composition as required by the Nice Agreement. Common metal pulls are in Class 6, wood pulls in 20, porcelain pulls in 21, etc.",,"""09-2007"""
020-1155,20,Spikes comprised primarily of plastic for anchoring and supporting posts,A,09/30/2010,GOODS,,,"""09-2007"""
020-1154,20,Wood pulls,A,09/30/2010,GOODS,"Similar to knobs, pulls are classified according to material composition as required by the Nice Agreement. Common metal pulls are in Class 6, plastic pulls in 20, porcelain pulls in 21, etc.",,"""09-2007"""
020-1153,20,Furniture for use in the haunted attraction industry,A,09/16/2010,GOODS,,,"""09-2007"""
020-1152,20,Infant sleep positioner cushions not for medical or therapeutic purposes,A,09/16/2010,GOODS,,,"""09-2007"""
020-1151,20,Packaging containers of plastic for {specify contents or intended use},A,09-09-2010,GOODS,,,"""09-2007"""
020-1150,20,Ergonomic chairs for use in seated massages,A,09-02-2010,GOODS,,,"""09-2007"""
020-1149,20,"Support bracket not made of metal for attachment to furniture to support items to be kept in hands' reach, such as a pistol, remote control, flashlight, cell phone, or eyeglasses",A,08/26/2010,GOODS,,,"""09-2007"""
020-1148,20,Folding floor screens,A,08/19/2010,GOODS,,,"""09-2007"""
020-1147,20,Novelty pillows,A,08/19/2010,GOODS,,,"""09-2007"""
020-1146,20,Ottoman seats,A,08/19/2010,GOODS,,,"""09-2007"""
020-1143,20,Mosaic tables,A,08/19/2010,GOODS,,,"""09-2007"""
020-1142,20,Cheval floor mirrors,A,08/19/2010,GOODS,,,"""09-2007"""
020-1139,20,Bean bag beds,A,08-12-2010,GOODS,,,"""09-2007"""
020-1138,20,Bean bag pillows,A,08-12-2010,GOODS,,,"""09-2007"""
020-1137,20,Decorative 3D pillows and cushions,A,08-12-2010,GOODS,,,"""09-2007"""
020-1135,20,Floor pillows,A,08-12-2010,GOODS,,,"""09-2007"""
020-1134,20,Laundry sorters for commercial use,A,08-12-2010,GOODS,,,"""09-2007"""
020-1133,20,Custom furniture,A,08-05-2010,GOODS,,,"""09-2007"""
020-1132,20,"Surveying equipment, namely, non-metal boundary markers for topographical use",A,08-05-2010,GOODS,,,"""09-2007"""
020-1131,20,"Boundary markers, namely, non-metal stakes, mooring bollards and anchorage plates for use in topography",A,08-05-2010,GOODS,,,"""09-2007"""
020-1130,20,Curtain tie-backs in the nature of non-textile curtain holders,A,07/29/2010,GOODS,Curtain tie-backs in the nature of textile curtain holders are in Class 24. This distinction is based on the 9th edition of the Nice Agreement and the alphabetical list.,,"""09-2007"""
020-113,20,Booster seats,A,04-02-1991,GOODS,,,"""07-1997"""
020-1127,20,Nonmetal containers for use in transport of {specify} for commercial or industrial use,A,07/22/2010,GOODS,,,"""09-2007"""
020-1126,20,"Furniture, namely, specially reinforced {indicate specific furniture items, e.g., chairs, tables, desks} to provide additional defense or protection from attacks, dangerous situations and/or environments",A,07/15/2010,GOODS,,,"""09-2007"""
020-1125,20,Racks for holding placemats which may be affixed to a refrigerator,A,07/15/2010,GOODS,,,"""09-2007"""
020-1124,20,Infant body support mats not for medical purposes,A,07/15/2010,GOODS,,,"""09-2007"""
020-1123,20,"Non-metal identification tags, tag sticks, tag flags, and tag cards for the purpose of the analysis and studying of fish migration, growth rates, and other data, often applied to fish by amateur anglers",A,07/15/2010,GOODS,,,"""09-2007"""
020-1122,20,"Wood substrates, namely, composite panels, particleboard and fiberboard for use in manufacturing of signs",A,07-08-2010,GOODS,,,"""09-2007"""
020-1121,20,Fabric cake decorations,A,06/24/2010,GOODS,These goods are in the nature of small stuffed figurines for use on cakes.,,"""09-2007"""
020-1119,20,"Pressurized durable film containers comprised of a combination of plastic and aluminum, that are reusable, refillable and recyclable, to hold liquids for commercial or industrial use",A,06/17/2010,GOODS,,,"""09-2007"""
020-1118,20,Fitted fabric slipcovers for furniture,A,06-10-2010,GOODS,,,"""09-2007"""
020-1116,20,Figures of closed cell resin polymer material,A,05/27/2010,GOODS,,,"""09-2007"""
019-846,19,Mosaics made of natural stone and stone tile,A,05/20/2010,GOODS,,,"""09-2007"""
019-845,19,Natural stone and stone tile,A,05/20/2010,GOODS,,,"""09-2007"""
019-844,19,Wall and floor art made of natural stone and stone tile,A,05/20/2010,GOODS,,,"""09-2007"""
019-843,19,Non-metal interior storm windows,A,04/29/2010,GOODS,,,"""09-2007"""
019-842,19,Non-metal storm windows,A,04/29/2010,GOODS,,,"""09-2007"""
019-841,19,Non-metal formwork tables [scaffolding],A,04/15/2010,GOODS,,,"""09-2007"""
019-840,19,Plastic road studs for marking out roads,A,04-08-2010,GOODS,,,"""09-2007"""
019-839,19,Stepping and footing stones of concrete or wood for use in lawns and pathways,A,04-01-2010,GOODS,,,"""09-2007"""
019-835,19,Concrete fencing in the nature of a noise barrier,A,03/25/2010,GOODS,,,"""09-2007"""
019-834,19,Plastic reinforced wall panels for use as sound and light barriers,A,03/25/2010,GOODS,,,"""09-2007"""
019-833,19,"Building materials, namely, pre-cast concrete wall forms",A,03-11-2010,GOODS,,,"""09-2007"""
019-832,19,"Non-metal roof vents for {indicate use, e.g., heating, cooling, ventilation, etc.} in residential and commercial buildings",A,03-11-2010,GOODS,,,"""09-2007"""
019-829,19,Non-metal chimney cowls,A,02-11-2010,GOODS,,,"""09-2007"""
019-828,19,Non-metal monuments,A,02-11-2010,GOODS,,T,"""09-2007"""
019-827,19,Non-metal chimney caps,A,02-11-2010,GOODS,,,"""09-2007"""
019-826,19,Offshore drilling platforms made primarily of concrete,A,02-04-2010,GOODS,,,"""09-2007"""
019-822,19,"Wall plaques made of {indicate stone, concrete or marble}",A,11-12-2009,GOODS,11-12-09 - Wall plaques are classified by material composition so the composition must be indicated and limited to a material in this class.,,"""09-2007"""
019-821,19,Asphalt paving compositions,A,10-08-2009,GOODS,,T,"""09-2007"""
019-820,19,"Automated pet appliances, namely, nonmetal pet doors",A,10-08-2009,GOODS,,,"""09-2007"""
019-819,19,Hardwood flooring,A,10-08-2009,GOODS,,T,"""09-2007"""
019-818,19,"Nonmetal construction materials, namely, drilled and grouted pile foundations",A,10-08-2009,GOODS,,,"""09-2007"""
019-817,19,Non-metal coverings for ceilings,A,10-08-2009,GOODS,,T,"""09-2007"""
019-815,19,Non-metal floor panels,A,10-08-2009,GOODS,,T,"""09-2007"""
019-814,19,Silica sand infill for synthetic grass,A,10-08-2009,GOODS,,,"""09-2007"""
019-812,19,PVC railings,A,08/27/2009,GOODS,,,"""09-2007"""
019-811,19,Wooden doors,A,08/20/2009,GOODS,,,"""09-2007"""
019-810,19,Glazed ceramic tiles,A,08/20/2009,GOODS,,T,"""09-2007"""
019-809,19,Glass for building,A,08/20/2009,GOODS,,T,"""09-2007"""
019-807,19,"Window frames, sashes and casements made of wood",A,08/20/2009,GOODS,,,"""09-2007"""
019-805,19,"Non-metal construction materials, namely, xylolith",A,08/13/2009,GOODS,,,"""09-2007"""
019-804,19,Transportable precast concrete buildings,A,07/23/2009,GOODS,,,"""09-2007"""
019-803,19,Hard wood flooring,A,07/16/2009,GOODS,,,"""09-2007"""
019-802,19,Hardwood decking and flooring,A,07/16/2009,GOODS,,,"""09-2007"""
019-800,19,"Prefabricated non-metal structures with flexible covers for agricultural, commercial or industrial storage",A,07-02-2009,GOODS,,,"""09-2007"""
019-80,19,Wood window frames,A,04-02-1991,GOODS,,,"""07-1997"""
019-8,19,Veneer for floors,A,04-02-1991,GOODS,,,"""07-1997"""
019-799,19,"Modular non-metal structures with flexible covers for agricultural, commercial or industrial storage",A,07-02-2009,GOODS,,,"""09-2007"""
019-797,19,Non-metal animal shelters,A,06/25/2009,GOODS,,,"""09-2007"""
019-796,19,Commemorative bricks,A,06/18/2009,GOODS,,,"""09-2007"""
019-847,19,Insulating glass for windows for building purposes,A,06-03-2010,GOODS,,,"""09-2007"""
020-237,20,Non-metal house numbers,A,04-02-1991,GOODS,,,"""07-1997"""
017-803,17,Non-metal hose fittings,M,10-07-2010,GOODS,04-02-1991: Original entry; 10-07-10: Transferred entry to Class 17; this entry was incorrectly classified in 20 due to a translation problem in the Nice Agreement's Alphabetical List.,,"""09-2007"""
020-235,20,Non-metal hooks,A,04-02-1991,GOODS,,,"""07-1997"""
020-232,20,Non-metal fastening anchors [for securing picture to walls],A,04-02-1991,GOODS,,,"""07-1997"""
020-229,20,Non-metal door bolts,A,04-02-1991,GOODS,,,"""07-1997"""
020-1039,20,Plastic holder for holding frozen confections while eating them and to avoid drips falling on clothing or skin,A,09/17/2009,GOODS,,,"""09-2007"""
020-1038,20,Recycled garment hangers,A,09-10-2009,GOODS,,,"""09-2007"""
020-1037,20,Plastic molds for making artificial nails,A,09-03-2009,GOODS,,,"""09-2007"""
020-1036,20,"Non-metal hardware, namely, carabiners of plastic",A,08/27/2009,GOODS,,,"""09-2007"""
020-1035,20,Recyclable plastic containers for commercial use manufactured with a barrier resin for chemical and acid resistance,A,08/20/2009,GOODS,,,"""09-2007"""
020-1032,20,Hammock stands,A,07/16/2009,GOODS,,,"""09-2007"""
020-1031,20,Non-metal hand-operated electrical holiday light storage reels,A,07-02-2009,GOODS,,,"""09-2007"""
020-1030,20,Patient care shower chairs,A,07-02-2009,GOODS,,,"""09-2007"""
020-103,20,Bag closures not of metal,A,04-02-1991,GOODS,,,"""07-1997"""
020-1028,20,Non-metal storage reels for electrical lights,A,07-02-2009,GOODS,,,"""09-2007"""
020-1027,20,Polyester resin anchor for use in rock stabilization,A,06/25/2009,GOODS,,,"""09-2007"""
020-1026,20,Shelving for lockers,A,06/18/2009,GOODS,,,"""09-2007"""
020-1025,20,Non-metal pet kennel with pet-actuated entry,A,06/18/2009,GOODS,,,"""09-2007"""
020-1024,20,Bag closures in the nature of an elastic band,A,06/18/2009,GOODS,,,"""09-2007"""
020-1022,20,Plastic containers and covers for the food industry,A,06-04-2009,GOODS,,,"""09-2007"""
020-1015,20,Statues of plaster,A,05/21/2009,GOODS,,T,"""09-2007"""
020-1014,20,Metal shelving,A,05/21/2009,GOODS,,T,"""09-2007"""
020-1013,20,Metal cabinets,A,05/21/2009,GOODS,,T,"""09-2007"""
020-1012,20,Slatted indoor blinds for windows,A,05/21/2009,GOODS,,T,"""09-2007"""
020-1011,20,Indoor blinds,A,05/21/2009,GOODS,,T,"""09-2007"""
020-1010,20,Life-size forms of the human body to display clothes,A,05/21/2009,GOODS,,T,"""09-2007"""
020-101,20,Antlers,A,04-02-1991,GOODS,,,"""07-1997"""
019-745,19,"Construction materials, namely, underlays of agglomerated cork",A,05/22/2008,GOODS,,,"""09-2007"""
019-744,19,Parquet flooring of cork and of cork-based conglomerates,A,05/22/2008,GOODS,,,"""09-2007"""
019-743,19,Pavement incorporating silicon solar cell material for electrical energy generation,A,05/22/2008,GOODS,,,"""09-2007"""
019-742,19,Pavement tiles made of cork or of cork conglomerates or containing cork in its composition,A,05/22/2008,GOODS,,,"""09-2007"""
019-741,19,Non-metal architectural mouldings and finish trim,A,05/22/2008,GOODS,,,"""09-2007"""
019-740,19,"Building materials, namely, non-metal countertops for further installation",A,05/22/2008,GOODS,,,"""09-2007"""
019-739,19,"Non-metal concrete construction hardware, namely, load transfer dowels",A,05/15/2008,GOODS,,,"""09-2007"""
019-738,19,Plastic oil and debris trap for storm drainage,A,05-08-2008,GOODS,,,"""09-2007"""
019-737,19,Non-metal window sashes,A,04/24/2008,GOODS,,,"""09-2007"""
019-736,19,Natural resin pavement for use in driveways,A,04/24/2008,GOODS,,,"""09-2007"""
019-735,19,Composite lumber made using recycled plastic,A,04-10-2008,GOODS,,,"""09-2007"""
019-734,19,Non-metal structures for mounting solar panels,A,02/21/2008,GOODS,,,"""09-2007"""
019-733,19,Engineered hardwood flooring,A,02/14/2008,GOODS,,,"""09-2007"""
019-732,19,Doors of wood clad in aluminum,A,02-07-2008,GOODS,,,"""09-2007"""
019-731,19,Windows frames of wood clad in aluminum,A,02-07-2008,GOODS,,,"""09-2007"""
019-730,19,"Window frames, sashes and casements of wood clad in aluminum",A,02-07-2008,GOODS,,,"""09-2007"""
019-73,19,Concrete vaults,A,04-02-1991,GOODS,,,"""07-1997"""
019-729,19,Non-metal stairs,A,01/31/2008,GOODS,,T,"""09-2007"""
019-728,19,Non-metallic roof flashing,A,01/31/2008,GOODS,,T,"""09-2007"""
019-727,19,Scented sand for decorative purposes,A,01-10-2008,GOODS,,,"""09-2007"""
019-726,19,"Building materials, namely, concrete-based slabs made using recycled glass",A,01-10-2008,GOODS,,,"""09-2007"""
019-725,19,Bituminous coatings for roofing,A,11/15/2007,GOODS,,T,"""09-2007"""
019-724,19,Parquet floor boards,A,11/15/2007,GOODS,,T,"""09-2007"""
019-722,19,Monuments of stone,A,11/15/2007,GOODS,,T,"""09-2007"""
019-721,19,"Building materials, namely, manufactured brick veneer for use on interior and exterior walls, floors and surfaces, patios, poolsides and driveways",A,11/15/2007,GOODS,,,"""09-2007"""
019-720,19,Building timber,A,11/15/2007,GOODS,,T,"""09-2007"""
019-72,19,Play sand,A,04-02-1991,GOODS,,,"""07-1997"""
019-719,19,Building glass,A,11/15/2007,GOODS,,T,"""09-2007"""
019-718,19,Parquet flooring,A,11/15/2007,GOODS,,T,"""09-2007"""
019-717,19,Bitumen,A,11/15/2007,GOODS,,T,"""09-2007"""
019-715,19,Artificial stone,A,11/15/2007,GOODS,,T,"""09-2007"""
019-714,19,Wood veneers,A,11/15/2007,GOODS,,T,"""09-2007"""
019-713,19,Veneer wood,A,11/15/2007,GOODS,,T,"""09-2007"""
019-712,19,Pitch and bitumen,A,11/15/2007,GOODS,,T,"""09-2007"""
019-710,19,"Storm water management devices, namely, non-metal catchment basins and non-metal detention basins in the nature of cisterns",A,09/27/2007,GOODS,,,"""09-2007"""
019-71,19,Plaster,A,04-02-1991,GOODS,,,"""07-1997"""
019-709,19,Cement fillers for use in roofing,A,09/20/2007,GOODS,,,"""09-2007"""
019-708,19,Stages for musical performance composed of primarily non-metal materials,A,09-06-2007,GOODS,,,"""09-2007"""
019-707,19,Stages for disc jockeys composed of primarily non-metal materials,A,09-06-2007,GOODS,,,"""09-2007"""
019-706,19,Synthetic rocks for creating landscape and waterscape settings,A,08/30/2007,GOODS,,,"""09-2007"""
019-705,19,Non-metal flash pans used in the construction industry,A,08/16/2007,GOODS,,,"""09-2007"""
019-703,19,Waterproof fabric used in building construction for protection against floods,A,08/16/2007,GOODS,,,"""09-2007"""
019-702,19,High performance fabric covers for use in protecting window and door openings during storms,A,08/16/2007,GOODS,,,"""09-2007"""
019-700,19,"Nonstructural building materials, namely, granite used in decorative surface applications for countertops and vanity tops",A,08-09-2007,GOODS,,,"""09-2007"""
019-7,19,Trestles for use in construction,A,04-02-1991,GOODS,,,"""07-1997"""
019-699,19,"Building materials, namely, composite panels composed primarily of nonmetal materials",A,08-02-2007,GOODS,,,"""09-2007"""
019-698,19,"Sealer coatings sold as an integral component of non-metal tiles, natural stone, and molded resins for construction purposes",A,08-02-2007,GOODS,,,"""09-2007"""
019-697,19,Nonmetal tubular liners for the lining of sewer systems,A,08-02-2007,GOODS,,,"""09-2007"""
019-696,19,Soils for application to sports fields,A,07/26/2007,GOODS,,,"""09-2007"""
019-695,19,Plastic posts with reflective UV coated discs attached,A,07-12-2007,GOODS,,,"""09-2007"""
019-694,19,Pressure-treated wood columns,A,07-05-2007,GOODS,,,"""09-2007"""
019-693,19,Non-precious stones for garden or ornamental use,A,06/28/2007,GOODS,,,"""09-2007"""
020-1366,20,Bagasse boards,A,07/18/2013,GOODS,"Bagasse is the pulp that remains after juice is extracted from sugarcane. Bagasse boards are typically used as a substitute for plywood for making partitions, furniture, and other goods.",,"""10-2013"""
020-1364,20,Letter boxes of plastic,M,07/18/2013,GOODS,"On 07-18-2013, the 04-02-1991 entry was modified by deleting ""not of metal"" and inserting ""of plastic"" because ""Letter boxes not of metal"" is overbroad and includes letter boxes of masonry in Class 19.",,"""10-2013"""
020-1363,20,Sculptures comprised primarily of tensile fabric membranes,X,07-11-2013,GOODS,,,"""10-2013"""
020-136,20,Couches,A,04-02-1991,GOODS,,,"""07-1997"""
020-1357,20,Non-metal mounting brackets for general use,A,05/30/2013,GOODS,,,"""10-2013"""
020-1356,20,Non-metal furniture casters,A,05/30/2013,GOODS,,,"""10-2013"""
020-1355,20,Ornaments of acrylic resins,A,05/16/2013,GOODS,"Although Christmas tree ornaments are generally classified in Class 28, decorative ornaments are generally classified according to material composition. Ornaments of acrylic resins are classified in Class 20 because acrylic resins are similar to plastics. Ornaments of acrylic fabrics are also classified in Class 20.",,"""10-2013"""
020-1354,20,Kneeling pads for household and garden use,A,05-09-2013,GOODS,,,"""10-2013"""
020-1353,20,"Furniture made of {specify material composition, e.g., teak, leather, etc.}",A,04/18/2013,GOODS,"Furniture is an acceptable identification in Class 20 without reference to material content. However, identification of material composition may be required during examination of marks that feature such terminology. See TMEP �1203.02(f)(i) for further information.",,"""10-2013"""
020-1352,20,Non-metal cable clamps,A,04/18/2013,GOODS,,T,"""10-2013"""
020-1350,20,"Combination funerary urns and {specify, e.g., plant pots, photo frames, etc.}",A,04-11-2013,GOODS,,,"""10-2013"""
020-1349,20,Bouquets made from seashells,A,04-11-2013,GOODS,,,"""10-2013"""
020-1348,20,Non-electric fans for personal use,M,03/28/2013,GOODS,"On 3-28-2013, the 4-2-1991 entry ""Fans for personal use [non-electric]"" was amended to incorporate the bracketed material into the identification. Without the bracketed wording, the identification is overly broad. Please note that electric fans for personal use are classified in Class 11.",T,"""10-2013"""
020-1338,20,Hydrostatic beds not for medical purposes,A,02/14/2013,GOODS,,,"""10-2013"""
020-1337,20,"Non-metal furniture supports in the nature of {specify, e.g., coasters, pedestals, etc.} for protecting carpets from furniture damage",A,02/14/2013,GOODS,,,"""10-2013"""
020-1335,20,Cask hoops not of metal,A,02/14/2013,GOODS,,,"""10-2013"""
020-1333,20,Door knockers not of metal,A,12/13/2012,GOODS,,T,"""10-2012"""
020-1629,20,"Stone pulls for cabinets, drawers and furniture",M,01-01-2012,GOODS,"02-12-09 ""Stone handles and pulls for cabinets, drawers and furniture"" was added to the Manual; 09-30-2010 Deleted the wording ""handles and"" from the ID because, unlike knobs (and by analogy, pulls), handles are not classified according to material composition under the Nice Agreement. 1-1-2012-- This entry of 9-30-2010 was transferred from Class 19 to Class 20 in accordance with the 10th Edition of the Nice Agreement. Because these goods are similar to knobs, metal pulls are in Class 6, precious metal pulls are in Class 14 and non-metal pulls are in Class 20.",,"""10-2012"""
019-867,19,Non-combustible fireplace surrounds and decorative fireplace facings made of non-metal non-combustible materials,A,09/30/2010,GOODS,09-13-2012: These goods are in Class 19 because they are non-metal building materials.,,"""09-2007"""
019-866,19,"Water treatment equipment, namely, non-metal water storage basins for collecting and storing water",A,09/16/2010,GOODS,,,"""09-2007"""
019-865,19,"Non-metal construction materials, namely, {indicate specific materials and/or specific use or purpose}",A,09-09-2010,GOODS,,,"""09-2007"""
019-864,19,"Construction materials, namely, non-metal flooring materials",A,09-09-2010,GOODS,,,"""09-2007"""
019-862,19,"Construction materials, namely, non-metal materials for constructing floors",A,09-09-2010,GOODS,,,"""09-2007"""
020-426,20,Shelving [metal and non-metal],A,04-02-1991,GOODS,,,"""08-2002"""
019-860,19,"Architectural elements, namely, non-metal friezes",A,09-09-2010,GOODS,This entry for frieze refers to a horizontal band running along the wall of a room typically decorated with sculptures or ornamental figures. Frieze in the nature of a heavy durable woolen fabric is in Class 24.,,"""09-2007"""
019-86,19,Refractory mortars,A,04-02-1991,GOODS,,,"""07-1997"""
019-859,19,Non-metallic transportable buildings,A,08/19/2010,GOODS,,,"""09-2007"""
019-857,19,Portable non-metal traffic barriers in the nature of traffic barrels,A,08-12-2010,GOODS,,,"""09-2007"""
019-855,19,Portable non-metal traffic barriers in the nature of traffic channelizers,A,08-12-2010,GOODS,,,"""09-2007"""
019-854,19,Portable non-metal traffic barriers in the nature of traffic drums,A,08-12-2010,GOODS,,,"""09-2007"""
019-853,19,"Wainscoting, not of metal",A,07/22/2010,GOODS,,T,"""09-2007"""
019-852,19,Waterproof membrane for use as a floor underlayment,A,07-08-2010,GOODS,,,"""09-2007"""
019-851,19,"Construction materials, namely, composite panels comprising primarily of a reinforced cement core that is mechanically bonded to steel sheets on both outer surfaces for use in barriers and doors",A,07-01-2010,GOODS,,,"""09-2007"""
019-850,19,"Building materials, namely, fire and blast-resistant doors comprised primarily of reinforced cement and also including steel elements",A,07-01-2010,GOODS,,,"""09-2007"""
019-849,19,Plaster stops for reinforcing plaster in the corners of plastered walls,A,06/17/2010,GOODS,,,"""09-2007"""
020-360,20,"Plastic molds for use in manufacturing furniture, bed liners, trailer flooring and decks",A,07-01-2001,GOODS,,,"""07-1997"""
020-300,20,Non-metal pulls for {indicate use},D,02-01-2002,GOODS,Item deleted because it includes goods in classes other than 20.,,"""08-2002"""
020-1977,20,Non-metal pulls,A,01-01-2012,GOODS,"Similar to knobs, in accordance with the 10th Edition of the Nice Agreement, metal pulls are in Class 6, precious metal pulls are in Class 14 and non-metal pulls are in Class 20.",,"""10-2012"""
020-297,20,Non-metal hose clips for {indicate use},A,06-01-2001,GOODS,,,"""07-1997"""
020-294,20,Computer furniture,M,04-12-1999,GOODS,,,"""07-1997"""
020-292,20,Pedestals,A,04-12-1999,GOODS,,,"""07-1997"""
020-291,20,Golf course benches,A,01-02-1997,GOODS,,,"""07-1997"""
020-289,20,Mattress cushions,A,01-02-1997,GOODS,,,"""07-1997"""
020-288,20,Plastic labels,A,01-02-1997,GOODS,,,"""07-1997"""
020-286,20,Plastic egg cartons for commercial use,A,02/20/1996,GOODS,,,"""07-1997"""
009-4733,9,Resuscitation mannequins,M,01-01-2002,GOODS,This item is more appropriately classified in Class 9 since it is a type of teaching apparatus. It was previously classified in Class 20.,,"""08-2002"""
020-28,20,Plastic key tags,A,04-02-1991,GOODS,,,"""07-1997"""
020-277,20,Sign boards,D,09-01-1995,GOODS,Entry is indefinite. Signboards are classified by material composition.,,"""07-1997"""
020-276,20,Boards (Sign),D,09-01-1995,GOODS,Entry is indefinite. Signboards are classified by material composition.,,"""07-1997"""
020-274,20,Pillowforms,A,01-01-1995,GOODS,,,"""07-1997"""
020-268,20,Fabric figurines,A,10-01-1994,GOODS,,,"""07-1997"""
020-266,20,Playhouses for pets,A,07-01-1994,GOODS,,,"""07-1997"""
020-263,20,Non-metal weather vanes,A,04-02-1991,GOODS,,,"""07-1997"""
020-26,20,Plastic key chain tags,A,04-02-1991,GOODS,,,"""07-1997"""
020-257,20,Non-metal tool boxes,A,04-02-1991,GOODS,,,"""07-1997"""
020-256,20,Non-metal time capsules,A,04-02-1991,GOODS,,,"""07-1997"""
020-255,20,Non-metal threaded fasteners,A,04-02-1991,GOODS,,,"""07-1997"""
020-254,20,Non-metal tent pegs,A,04-02-1991,GOODS,,,"""07-1997"""
020-252,20,Non-metal pipe fittings,D,02-01-2006,GOODS,"Only highly specialized types of fittings may be in 20; most pipe fittings are in 6, 17 or 19.",,"""08-2002"""
020-251,20,Non-metal pipe clips,A,04-02-1991,GOODS,,,"""07-1997"""
020-250,20,Non-metal pegs,A,04-02-1991,GOODS,,,"""07-1997"""
020-249,20,Non-metal pallets,A,04-02-1991,GOODS,,,"""07-1997"""
020-248,20,Non-metal money clips,D,01-01-2007,GOODS,"All money clips are in Class 16 based on Nice Agreement entry for ""money clips"" in Class 16 without limitation as to material composition.",,"""09-2007"""
020-243,20,Non-metal latch bars,A,04-02-1991,GOODS,,,"""07-1997"""
020-242,20,Non-metal ladders,A,04-02-1991,GOODS,,,"""07-1997"""
020-24,20,Plastic holders for signboards,A,04-02-1991,GOODS,,,"""07-1997"""
020-301,20,Non-metal slides for {indicate use},A,06-01-2001,GOODS,,,"""07-1997"""
020-1165,20,Cowrie shells,A,12-02-2010,GOODS,,,"""09-2007"""
020-1164,20,Cowry shells,A,12-02-2010,GOODS,,,"""09-2007"""
020-1163,20,"Plastic packaging components for containers and cartons, namely, dispensing and closable pour spouts and container and carton closures",A,11-11-2010,GOODS,,,"""09-2007"""
020-1159,20,Pillows for household pets,A,10/28/2010,GOODS,,,"""09-2007"""
020-1158,20,"Residential shelving units and component parts thereof, namely, shelves and brackets sold as a unit",A,10/21/2010,GOODS,,,"""09-2007"""
020-224,20,"Non-metal and non-paper closures for {indicate specific item with which it is used, e.g., bottle, container, bag}",M,09-01-2005,GOODS,,,"""10-2012"""
020-223,20,Non-metal clamps,A,04-02-1991,GOODS,,,"""07-1997"""
020-222,20,Non-metal chains,A,04-02-1991,GOODS,,,"""07-1997"""
020-221,20,Non-metal caps for bottles,A,04-02-1991,GOODS,,,"""07-1997"""
020-22,20,Plastic garage door rollers,A,04-02-1991,GOODS,,,"""07-1997"""
020-218,20,Non-metal bottle caps,A,04-02-1991,GOODS,,,"""07-1997"""
020-217,20,Non-metal bolts,A,04-02-1991,GOODS,,,"""07-1997"""
020-216,20,Non-metal bins,A,04-02-1991,GOODS,,,"""07-1997"""
020-215,20,Non-metal casters,A,04-02-1991,GOODS,,,"""07-1997"""
020-214,20,Movable office partitions,A,04-02-1991,GOODS,,,"""07-1997"""
020-212,20,Molds of plaster for casting ceramic materials,A,04-02-1991,GOODS,,,"""07-1997"""
020-204,20,Living room furniture,A,04-02-1991,GOODS,,,"""07-1997"""
020-203,20,Letter boxes not of metal or masonry,A,07/20/2004,GOODS,,T,"""08-2002"""
020-202,20,"Letter boxes of {indicate non-metal, non-masonry material, e.g., plastic or wood}",M,07/18/2013,GOODS,"On 07-18-2013, the 04-02-1991 entry was modified by deleting ""indicate non-metal"" and inserting ""indicate non-metal, non-masonry material, e.g.,"" to conform to the classification guidance in the Nice Alphabetical List. Letter boxes of masonry are in Class 19.",,"""10-2013"""
020-200,20,Lawn furniture,A,04-02-1991,GOODS,,,"""07-1997"""
020-197,20,Kennels with carriers,A,04-02-1991,GOODS,,,"""07-1997"""
014-603,14,Jewelry cases not of precious metal,M,01-01-2007,GOODS,This entry was transferred from Class 20 to Class 14 pursuant to the 9th edition of the Nice Agreement.,T,"""09-2007"""
014-605,14,Jewelry boxes not of metal,M,01-01-2007,GOODS,This entry was transferred from Class 20 to Class 14 pursuant to the 9th edition of the Nice Agreement.,,"""09-2007"""
020-191,20,Infant cradles,A,04-02-1991,GOODS,,,"""07-1997"""
020-190,20,Industrial work tables,A,04-02-1991,GOODS,,,"""07-1997"""
020-19,20,Plastic drawer lining material,A,04-02-1991,GOODS,,,"""07-1997"""
020-188,20,High chairs,A,04-02-1991,GOODS,,,"""07-1997"""
020-187,20,Hangers for clothes,A,04-02-1991,GOODS,,,"""07-1997"""
020-182,20,Gift package decorations made of plastic,A,04-02-1991,GOODS,,,"""07-1997"""
020-181,20,"Furniture, namely, wall units",A,04-02-1991,GOODS,,,"""07-1997"""
020-180,20,"Furniture, namely, sales and display counters",A,04-02-1991,GOODS,,,"""07-1997"""
020-18,20,Plastic doorknobs,A,04-02-1991,GOODS,,,"""07-1997"""
020-1115,20,Shadow boxes,A,05/27/2010,GOODS,,,"""09-2007"""
020-1112,20,"Clothes hangers having sliding arms for use with shirts, sweaters or turtlenecks by placement through the neck hole",A,05/13/2010,GOODS,,,"""09-2007"""
020-1111,20,"Non-metal, non-mechanical hoppers",A,05/13/2010,GOODS,,,"""09-2007"""
020-1110,20,"Pant hangers with articulated, spring-urged clamped members for holding pants",A,05/13/2010,GOODS,,,"""09-2007"""
020-1108,20,Acrylic and polycarbonate reels for use in the manufacture of signs,A,05-07-2010,GOODS,,,"""09-2007"""
